doi,title,author,variable,region,model,climate.scenario,value,estimation.year,unit,focus,study,publication.date
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.BAU-SSP5,6481,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.BAU-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP1,3114,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP2,4053,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP3,5924,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP4,3597,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP5,5020,2070,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP1,3059,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP2,4562,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP3,8043,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP4,3826,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP4,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,HadGEM2.Policy-SSP5,6235,2100,km3/year,projected,hanasaki (2012).H08.HadGEM2.Policy-SSP5,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.baseline,3214,2000,km3/year,projected,hanasaki (2012).H08.GFDL.baseline,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP1,3210,2070,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP1,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP-2,4132,2070,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP-2,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP3,6026,2070,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP3,2012
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways - part 2: water availability and scarcity,hanasaki (2012),iww,global,H08,GFDL.BAU-SSP4,3708,2070,km3/year,projected,hanasaki (2012).H08.GFDL.BAU-SSP4,2012
